,mean,std,2.5q,25q,50q,75q,97.5q,mc err,param,subject,actions
13,0.04134731668167361,0.031073646262529005,0.001945170871642332,0.01627881513509867,0.034651621831082335,0.06055603009456073,0.11491798193998021,0.0012019503754069798,z_std,,00D
14,0.5260292025526979,0.07187027036090067,0.3928377490487212,0.47541226223992744,0.5262347717216509,0.5720244915064521,0.6753173459382401,0.0063544473376145275,z,Pro-self,00D
15,0.5248377364897597,0.07134167295083298,0.39324915496477286,0.4744693183671308,0.5238898196861052,0.5713155141756289,0.6717715097654793,0.006331980654037945,z,Pro-social,00D
16,2.513674469963906,1.2436813570091847,0.8208946688534506,1.6499989785904043,2.242138235091146,3.074091265682474,5.794947708410893,0.034771251309853354,a,,00C
17,2.916690285009163,0.9462658966302413,1.3651479737644405,2.2626173776111456,2.8118946306624473,3.478945737814726,5.012594563967658,0.02537365171492322,a_std,,00C
18,8.290790034218933,1.6984980569312595,5.591121756970668,7.0801374055934865,8.054019935335468,9.242885569012778,12.346541516852437,0.08114514992648075,a,Pro-self,00C
19,9.373885639203065,2.2692858448617743,5.772263239659005,7.745400252475475,9.044353335310591,10.75240487813327,14.417479912739667,0.13365749420274528,a,Pro-social,00C
20,0.6322927839569604,0.7010509589921321,-0.7226646739187088,0.35537453102937167,0.572137454294494,0.834469885014411,2.3328570996682227,0.012060899930104039,v,,00C
21,0.7945498527058202,0.7716341660872443,0.04209640908974638,0.24341283144622095,0.5443552160858258,1.0883101295181263,2.9146858059164114,0.029969884654272232,v_std,,00C
22,0.4390692402300228,0.12612774031335117,0.18966384396302305,0.35461345957115425,0.43872763577836166,0.5263327528273467,0.685726305302456,0.003504214873842902,v,Pro-self,00C
23,0.6611081339229361,0.14635953413937638,0.38562015661204685,0.562437672681197,0.6569397542898174,0.7586465115123476,0.9647971733138802,0.006217935500260346,v,Pro-social,00C
24,0.4981350237780767,0.21953662155693626,0.16100774293535924,0.33964099705872064,0.46632970718052424,0.6271910107019859,1.0241745789563945,0.008437339634880426,t,,00C
25,0.5515773266680539,0.43967367334514934,0.03058464037454143,0.20883405772997016,0.4479322943684411,0.7748080801718303,1.686438024476328,0.020525668929310757,t_std,,00C
26,0.48801797085304105,0.46409344368882677,5.185431162684488e-06,0.10614761080162588,0.377784829768364,0.7207460256155823,1.7134295833070934,0.01946364230629771,t,Pro-self,00C
27,0.5921794255771555,0.5025654371297146,9.190042155209717e-05,0.18602211028484375,0.49767105267234035,0.8645391721947459,1.8133049573072837,0.0241377083380234,t,Pro-social,00C
28,0.5669806327492685,0.06716421113049095,0.431671157464637,0.5217906604480895,0.5721448860419809,0.6095915766285244,0.6967816853841181,0.006103966436993154,z,,00C
29,0.03802149722921436,0.029885217909717106,0.0013422308879215586,0.014100447945266142,0.03109696163706232,0.05513792984778229,0.10939555968158632,0.0013322069233814044,z_std,,00C
30,0.567553181561861,0.06746476072398452,0.43119013875219336,0.5218521495097264,0.5733484855158354,0.6104729915324498,0.6993227542628391,0.006079365459478247,z,Pro-self,00C
31,0.5668533736893979,0.06756685085687097,0.43156674235947334,0.5214805971903475,0.572119580942099,0.6104618904217712,0.6975240334077855,0.006095414213649654,z,Pro-social,00C
32,2.6791630122605468,1.2321395257521206,0.9033352245915417,1.7572133510755867,2.4619092225671806,3.3948716594309456,5.656750536979348,0.029332930286589138,a,,DCD
33,2.6364530895519676,0.8969389962700832,1.145106028854166,2.011321587895214,2.513096201533357,3.166321440007387,4.730147493663361,0.024522929403640675,a_std,,DCD
34,6.2458234219982325,0.6582424607486346,5.210265947205096,5.778604486921651,6.152878125982797,6.6281373709375835,7.830089080780879,0.0491499600378482,a,Pro-self,DCD
35,8.54655329770953,1.2462421869197557,6.514964766933726,7.6530637384986395,8.379800251127465,9.28107162001841,11.43409818442307,0.09457067552596306,a,Pro-social,DCD
36,-0.47590432180020004,0.6006796940665862,-1.46874864078048,-0.6575286849173089,-0.5634641582262552,-0.4264025338534952,1.0981917115040103,0.01423883117899941,v,,DCD
37,0.5620347712829563,0.7452462984200957,0.010388350761304066,0.0864861210931021,0.26244879667125987,0.7414503030181714,2.6011692542330316,0.0314119489508876,v_std,,DCD
38,-0.5531164728377206,0.05235588876963054,-0.6465187609594395,-0.5893670360444776,-0.5567861621775061,-0.5204993840279095,-0.4404999079757244,0.0030443550264371306,v,Pro-self,DCD
39,-0.6092253277299202,0.06469518493641893,-0.7385690453955007,-0.6526461113921496,-0.6081013118765067,-0.5664584301341147,-0.48157030063225925,0.002097360314735743,v,Pro-social,DCD
40,0.2995949134959066,0.14395179246956671,0.09356610730210999,0.19788236345877805,0.27406871884311473,0.37594733384348783,0.6494751575201012,0.006112856059665084,t,,DCD
41,1.1612204017359309,0.6209228775716118,0.13661749297195558,0.6893996886375217,1.10697261615343,1.565892158447934,2.4951599035603778,0.036176522250581,t_std,,DCD
42,0.048542151534157876,0.07296417561279983,5.301939096016697e-34,7.614812181324911e-22,2.092950700518714e-11,0.10133010136203612,0.21870938822187586,0.006367814061610318,t,Pro-self,DCD
43,0.014181221773474627,0.033972939955518075,2.075660429342387e-25,8.774246863143291e-09,9.236545951484946e-06,0.0056124734658106155,0.13127310548949617,0.0021480525713249493,t,Pro-social,DCD
44,0.25061432752713964,0.032432733242201195,0.1877907269435843,0.226194025549973,0.25296671909041174,0.27434073506953677,0.31071852712423087,0.0028020687919465986,z,,DCD
45,0.043014219843899776,0.03086633568030965,0.0024820676716652418,0.018668492126038973,0.0369202604472203,0.06104704366072569,0.11730407882363225,0.0012975681870996238,z_std,,DCD
46,0.24709817336484435,0.03174751680079478,0.18420720606812913,0.22346263231367977,0.24868692947421817,0.27105339738674017,0.30679859980080343,0.0027594662074640333,z,Pro-self,DCD
47,0.25199527845303055,0.03360071791211076,0.18696898646282065,0.22741249907483865,0.2541458124193057,0.27572184424296997,0.3160680281203585,0.002832830518703268,z,Pro-social,DCD
